Dv,MARCA,Material,Descripción,      Amount ,Unit,per,UoM,Empaque Mínimo,ABC Code,División.,Marca.
5C,Columbia Lighting,LCAT14-50HLG-EU,Configurado Familia - LCAT, $195.72 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT14-50MLG-EU,Configurado Familia - LCAT, $195.07 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT14-50VLG-EDU,Configurado Familia - LCAT, $214.20 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT14-50VLG-EU,Configurado Familia - LCAT, $212.90 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-35MLG-EDU-ELL14,Configurado Familia - LCAT, $375.62 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-35MLHEG-EDU,Configurado Familia - LCAT, $126.02 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-35VLHEG-EDU,Configurado Familia - LCAT, $129.51 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5I,Industrial,HBL72LUA25KN070CDW,HBL-72LU-A2-5K-N-070-CD-WH," $1,395.27 ",USD,1,PZ,1 PZ,M,5I,Industrial
5C,Columbia Lighting,LCAT22-35VWG-EDU,Configurado Familia - LCAT, $126.06 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-50HLG-EU,Configurado Familia - LCAT, $140.83 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-50HLG-EU-ELL14,Configurado Familia - LCAT, $392.45 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-50MLG-EDU-ELL14,Configurado Familia - LCAT, $588.19 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-50MLG-EU,Configurado Familia - LCAT, $141.35 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT22-50VLG-EDU,Configurado Familia - LCAT, $131.21 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-40MWHEG-EDU,Configurado Familia - LCAT, $170.18 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-40VLG-EDU,Configurado Familia - LCAT, $229.37 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50HLG-EDU,Configurado Familia - LCAT, $209.19 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5I,Industrial,HBLC72LUY2NGRWGR12,HBLC-72L-U-Y2-N-GR-WG-R12," $1,375.94 ",USD,1,PZ,1 PZ,B,5I,Industrial
5C,Columbia Lighting,LCAT24-50HLG-EU,Configurado Familia - LCAT, $215.60 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50LWG-EU,Configurado Familia - LCAT, $195.97 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50LWG-EU-ELL14,Configurado Familia - LCAT, $387.00 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50MLG-EU,Configurado Familia - LCAT, $212.78 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50MLSM-EU,Configurado Familia - LCAT, $317.12 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50VLG-EDU,Configurado Familia - LCAT, $205.97 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50VLG-EU,Configurado Familia - LCAT, $225.67 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5C,Columbia Lighting,LCAT24-50VLG-EU-ELL14,Configurado Familia - LCAT, $406.81 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
